company_website,is_remote,link,source,title,company_address,language_proficiency,personality_traits,soft_skills,min_salary,is_internship,company,diploma,sector,desired_profile,languages,recommended_skills,foreign_company,language_profeciency,contract_type,min_experience,company_description,job_description,date_of_publication,application_date,location,hard_skills,region,job
,False,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/972165/display,Anapec,(2) COMMERCIAL TERRAIN,RABAT AGDAL,,N/A,[],2000,False,RABAT Prefectoral / BENNANI,"['BAC + 2', 'DE MORE']",Retail and Sales,Formation : Experience professionnelle : (6 mois - 1 an) Poste : Commercial/Commerciale,Francais : Bon,,False,Bon,CI,0,Secteur dactivite : Commerce de gros et intermediaires du commerce,Poste 2 COMMERCIAL TERRAIN SALAIRE ENTRE 2000 ET 3000 DH EXPERIENCE DANS LE DOMAINE MEDICAL,2024-12-14,,RABAT AGDAL,[],,Sales
,False,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/972166/display,Anapec,(2) VENDEUR,RABAT AGDAL,,N/A,[],2000,False,RABAT Prefectoral / BENNANI,"['TECHNICIEN EN VENTE', 'COMMERCE']",Retail and Sales,Poste: Vendeur/Vendeuse; Formation: Exprience professionnelle : (6 mois - 1 an); Langues: Francais : Bon,Francais,,False,Bon,CI,0,Secteur dactivite : Commerce de gros et intermediaires du commerce,POSTE VENDEUR SALAIRE ENTRE 2000 ET 3000,2024-12-14,2025-01-06,RABAT AGDAL,[],,Sales
,False,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/971917/display,Anapec,(50) OUVRIERES AGRICOLES,MIDELT / YOUSSEF,,,[],0,False,YOUSSEF,[],Agriculture and Agribusiness,,Arabe : Bon,,False,Bon,CDD,0,Secteur dactivite : Industries alimentaires,Type de contrat: N/A; Lieu de travail: N/A; Caracteristiques: N/A,2024-12-13,,MIDELT,[],,Agricultural Worker
http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/972130/display,False,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/972130/display,Anapec,(1) Secretaire Medicale,RABAT CENTRE / BOHMOCH,,N/A,[],0,False,N/A,[],Healthcare and Medical Services,N/A,Arabe : Bon; Francais : Bon,N/A,False,Bon,CI,0,Secteur dactivite : Sante et action sociale Type de contrat : CI Lieu de travail : RABAT CENTRE Formation : Langues : Langues: Arabe : Bon; Francais : Bon,Type de contrat: N/A; Lieu de travail: N/A; Caracteristiques: N/A,2024-12-13,N/A,RABAT,[],RABAT,Administration
,False,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/972106/display,Anapec,(1) Commercial/Commerciale,,,,[],0,False,H.HASSANI / MORCHID,[],Healthcare and Medical Services,,Francais : Bon,,False,Bon,CI,0,Secteur dactivite : Sante et action sociale Type de contrat : CI Lieu de travail : CASABLANCA-ANFA Formation : Langues : Langues: Francais : Bon,Type de contrat: N/A; Lieu de travail: N/A; Caracteristiques: N/A,2024-12-13,,CASABLANCA-ANFA,[],Casablanca,Commercial
,False,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/972105/display,Anapec,Aide Pharmacien,OUJDA ANGAD,,"Accueillant, attentif, rigoureux","['Capacite daccueil', 'Gestion des stocks', 'Sens du detail']",0,False,OUJDA-ANGAD / EL OUALI,"['Diplome en pharmacie', 'Formation en sciences de la sante']",Healthcare and Medical Services,Vendeur/Vendeuse avec une experience professionnelle de moins de 6 mois,Francais : Courant,"Connaissance des medicaments, competences en communication",False,Courant,CI,0,Secteur dactivite : Sante et action sociale,"Accueil des clients, gestion des stocks et mesures de sante.",2024-12-13,,OUJDA ANGAD,"['Gestion de linventaire', 'Mesure de la pression arterielle', 'Glycemie']",Oriental,Vendeur/Vendeuse
,False,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/971955/display,Anapec,(1) TECHNICIEN GENIE CIVIL,MEKNES / AMMOR,,,[],0,False,MEKNES / AMMOR,[],Construction and Civil Engineering,Formation : Commentaire: - UNE EXPERIENCE DE 5ANS EST EXIGEE A CE POSTE,N/A,,False,N/A,CDI,5,Secteur dactivite : Construction Type de contrat : CDI Lieu de travail : MEKNES,Type de contrat: N/A; Lieu de travail: N/A; Caracteristiques: N/A,2024-12-13,,MEKNES,[],MEKNES,Technicien detudes du batiment et des travaux publics
http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/971919/display,False,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/971919/display,Anapec,Responsable de carriere,MEKNES / AMMOR,,,[],0,False,N/A,['DIPLME BAC+2 ET PLUS EN SPECIALITE SERVICE DES MINES/ ETUDES TECHNIQUES'],Construction and Civil Engineering,Formation : Experience professionnelle : (2 ans - 3 ans) Poste : Attache commercial au pres des entreprises et / ou des collectivites,N/A,,False,N/A,CDI,5,Secteur dactivite : Construction,Type de contrat: N/A; Lieu de travail: N/A; Caracteristiques: N/A,2024-12-13,N/A,MEKNES,[],MEKNES,Commercial
,False,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/972008/display,Anapec,(1) Sage-femme (F),TINGHIR / ELAMRI,,,[],0,False,N/A,[],Healthcare and Medical Services,Formation : Langues : Langues: Tamazight : Arabe :,"Tamazight, Arabe",,False,,CI,0,Secteur dactivite : Activites associatives,Type de contrat: N/A; Lieu de travail: N/A; Caracteristiques: N/A,2024-12-13,,TINGHIR,[],TINGHIR,Medical
http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/971975/display,False,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/971975/display,Anapec,(50) AGENTS DE SECURITE,MARRAKECH GUELIZ-ENNAKHIL,,ASSURER LES BIENS ET LES PERSONNES,['Comptences spcifiques'],0,False,MARRAKECH (Nakhil) / MOUSTAHFIDE,['Bac'],Business Process Outsourcing (BPO),"Formation: Bureautiques: Word, Excel; Langues: Francais: Moyen",Francais : Moyen,,False,Moyen,Choix Multiple,0,Secteur dactivite: Services fournis principalement aux entreprises,Type de contrat: N/A; Lieu de travail: N/A; Caractristiques: N/A,2024-12-13,2024-12-20,Marrakech,"['Word', 'Excel']",Marrakech,Security
http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/972139/display,False,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/972139/display,Anapec,Soudeur,CASABLANCA-ANFA,,N/A,[],0,False,Agence universitaire Hassan II de Casablanca / TOUNSI,"['Technicien', 'TS']",Construction and Civil Engineering,Soudeur ayant un diplome de Technicien /TS ou plus en soudure /construction metallique,Francais : Bon,N/A,False,Bon,CI,0,Secteur dactivite : Autres Date de debut : 01/01/2025,"Assurer le decoupage de la structure metallique, manipulation du poste de soudure",2024-12-13,2024-12-30,Casablanca-Anfa,[],Casablanca,Construction
,False,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/972104/display,Anapec,(1) Vendeur/Vendeuse,CASABLANCA-ANFA,,,[],0,False,H.HASSANI / MORCHID,[],Healthcare and Medical Services,,Francais : Moyen,,False,Moyen,CI,0,Secteur dactivite : Sante et action sociale Type de contrat : CI Lieu de travail : CASABLANCA-ANFA Formation : Langues : Langues: Francais : Moyen,Type de contrat: N/A; Lieu de travail: N/A; Caracteristiques: N/A,2024-12-13,,CASABLANCA-ANFA,[],CASABLANCA,Sales Associate
,False,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/971958/display,Anapec,40 Secretaire Bureautique Polyvalent,,,N/A,"['communication', 'organization', 'teamwork']",0,False,INEZGANE AIT MELLOUL / BELMESKINE,['Bac + 2'],Call Center and Customer Service,Technicien Receptionniste,"Arabe : Bon, Francais : Moyen","Informatique, Bureautique",False,Bon,CI,0,Secteur dactivite : Services fournis principalement aux entreprises Type de contrat : CI Lieu de travail : AGADIR Formation : Langues : Commentaire: SECRETARIAT-ACCUEIL-COMMUNICATION INTERPERSONNELLE-INFORMATIQUE-BUREAUTIQUE,Type de contrat: N/A; Lieu de travail: N/A; Caracteristiques: N/A,2024-12-13,N/A,Agadir,"['Informatique', 'Bureautique']",Agadir,Administration
http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/971938/display,False,http://anapec.org/sigec-app-rv/fr/entreprises/bloc_offre_home/971938/display,Anapec,(1) CHARGE DE VENTE,MEKNES / AMMOR,,N/A,[],0,False,N/A,['Gestion'],Construction and Civil Engineering,Formation : Experience professionnelle : (3 ans - 5 ans) Poste : Cadre financier specialise,N/A,N/A,False,N/A,CDI,5,Secteur dactivite : Construction Type de contrat : CDI Lieu de travail : MEKNES Description du profil : Formation : Experience professionnelle : (3 ans - 5 ans) Poste : Cadre financier specialise Commentaire: - UNE FORMATION EN GESTION AVEC EXPERIENCE DE 5ANS DANS UN POSTE SIMILAIRE EST ADMISE.,Type de contrat: N/A; Lieu de travail: N/A; Caracteristiques: N/A,2024-12-13,N/A,Meknes,[],Meknes,Finance
